video_id,file_name,dialect,gloss,top1,top5,closest_train_clip,closest_train_diff,dup_in_train
646,D0551B.mp4,B,1 000 000 (một triệu),1,1,D0551T.mp4,5.356,0
651,D0552T.mp4,T,1 000 000 000 (một tỉ),1,1,D0552B.mp4,2.41,1
644,D0550N.mp4,N,10 000 (mười nghìn),1,1,D0550T.mp4,4.186,0
628,D0540B.mp4,B,11,0,0,D0540T.mp4,19.773,0
633,D0541T.mp4,T,12,0,1,D0541N.mp4,0.302,1
634,D0542N.mp4,N,23,0,1,D0542T.mp4,0.3,1
621,D0535B.mp4,B,6,0,0,D0535T.mp4,20.758,0
658,W00004T.mp4,T,ai,1,1,W00004N.mp4,2.649,1
662,W00009N.mp4,N,anh (nước anh),1,1,W00009T.mp4,0.25,1
666,W00012B.mp4,B,anh dũng,0,0,W00012T.mp4,13.416,0
670,W00013T.mp4,T,anh em,1,1,W00013N.mp4,0.269,1
186,D0143N.mp4,N,"anh hai, anh cả",0,1,D0143T.mp4,5.303,0
676,W00019B.mp4,B,anh ruột,0,0,W00019T.mp4,13.269,0
675,W00018T.mp4,T,anh rể,1,1,W00018N.mp4,0.282,1
721,W00086N.mp4,N,ban đêm,1,1,W00086T.mp4,0.229,1
784,W00145B.mp4,B,bao giờ?,1,1,W00145T.mp4,0.267,1
3879,W00355T.mp4,T,bra-xin (nước bra-xin),0,1,W00355N.mp4,0.249,1
955,W00356N.mp4,N,bru-nây (nước bru-nây),1,1,W00356T.mp4,0.216,1
978,W00374B.mp4,B,buông màn,0,0,W00374T.mp4,20.094,0
3885,W00368T.mp4,T,buổi sáng,1,1,W00368N.mp4,0.296,1
974,W00370N.mp4,N,buổi trưa,1,1,W00370T.mp4,15.877,0
971,W00369B.mp4,B,buổi tối,0,0,W00369T.mp4,13.4,0
970,W00367T.mp4,T,buổi đêm,1,1,W00367N.mp4,0.238,1
715,W00075N.mp4,N,bài thơ,1,1,W00075T.mp4,0.276,1
740,W00107B.mp4,B,bán hàng,0,0,W00107T.mp4,11.235,0
771,W00129T.mp4,T,bánh cuốn,1,1,W00129N.mp4,0.251,1
779,W00137N.mp4,N,bánh mì,1,1,W00137T.mp4,0.262,1
796,W00160B.mp4,B,báo (con báo),0,0,W00160T.mp4,15.629,0
845,W00220T.mp4,T,bé trai,1,1,W00220B.mp4,0.262,1
3863,W00255N.mp4,N,bìa vở,0,0,W00255B.mp4,7.251,0
880,W00274B.mp4,B,bình an,1,1,W00274T.mp4,0.249,1
889,W00286T.mp4,T,bình thường,1,1,W00286N.mp4,0.26,1
3717,D0077N.mp4,N,bít tết (bò),1,1,D0077T.mp4,0.251,1
3871,W00304B.mp4,B,bón phân,0,0,W00304T.mp4,18.769,0
933,W00336T.mp4,T,bông hoa,0,0,W00336N.mp4,0.266,1
986,W00383N.mp4,N,bút màu,1,1,W00383T.mp4,3.38,0
744,W00110B.mp4,B,bạn,0,0,W00110T.mp4,21.228,0
748,W00111T.mp4,T,bạn gái,0,1,W00111N.mp4,0.285,1
750,W00112N.mp4,N,bạn trai,0,1,W00112T.mp4,0.879,1
730,W00099B.mp4,B,bản đồ việt nam,0,0,W00099T.mp4,13.753,0
755,W00119T.mp4,T,bảng cộng,0,1,W00119B.mp4,0.286,1
763,W00124N.mp4,N,bảng nhân,0,0,W00124B.mp4,14.694,0
766,W00126B.mp4,B,bảng trừ,0,1,W00126T.mp4,0.275,1
759,W00121T.mp4,T,bảng đen,1,1,W00121B.mp4,0.276,1
794,W00159N.mp4,N,bảo vệ môi trường,1,1,W00159T.mp4,0.28,1
836,W00214B.mp4,B,bẫy chuột (hành động),0,0,W00214T.mp4,16.17,0
814,W00186T.mp4,T,bắn bi,1,1,W00186N.mp4,0.268,1
822,W00196N.mp4,N,bắp ngô,1,1,W00196T.mp4,0.237,1
839,W00216B.mp4,B,bẻ ngô,0,0,W00216T.mp4,14.511,0
919,W00326T.mp4,T,bố dượng,0,1,W00326N.mp4,0.228,1
3874,W00337N.mp4,N,bốt cảnh sát,1,1,W00337T.mp4,0.287,1
936,W00338B.mp4,B,bốt điện,0,0,W00338T.mp4,12.461,0
923,W00328T.mp4,T,bộ đội,0,0,W00328B.mp4,16.323,0
941,W00341N.mp4,N,bột màu,1,1,W00341T.mp4,0.283,1
959,W00359B.mp4,B,bụi phấn,1,1,W00359T.mp4,0.285,1
992,W00386T.mp4,T,bức tranh,1,1,W00386B.mp4,0.269,1
1012,W00407N.mp4,N,cam-pu-chia (nước cam-pu-chia),0,0,W00407B.mp4,15.934,0
1156,W00575B.mp4,B,chia,0,0,W00575T.mp4,17.356,0
330,D0250T.mp4,T,chia ba,0,1,D0250B.mp4,0.255,1
326,D0249N.mp4,N,chia đôi,0,0,D0249T.mp4,11.884,0
1165,W00584B.mp4,B,chiếc gối,0,0,W00584T.mp4,18.332,0
1262,W00691T.mp4,T,chuyên gia,1,1,W00691N.mp4,0.26,1
1232,W00662N.mp4,N,chuẩn bị,1,1,W00662T.mp4,0.169,1
1092,W00495B.mp4,B,cháu gái,0,0,W00495T.mp4,12.698,0
205,D0154T.mp4,T,cháu họ,0,1,D0154N.mp4,10.247,0
3906,W00496N.mp4,N,cháu ngoại,0,0,W00496B.mp4,12.834,0
