gloss,precision,recall,f1-score,support
anh (nước anh),0.0,0.0,0.0,1.0
anh dũng,0.0,0.0,0.0,1.0
anh em,0.0,0.0,0.0,1.0
"anh hai, anh cả",0.0,0.0,0.0,1.0
anh ruột,0.0,0.0,0.0,1.0
anh rể,0.1667,1.0,0.2857,1.0
buông màn,0.0,0.0,0.0,1.0
bài thơ,0.0,0.0,0.0,1.0
bông hoa,0.0,0.0,0.0,1.0
bố dượng,0.0,0.0,0.0,1.0
bốt cảnh sát,0.0,0.0,0.0,1.0
bốt điện,0.0,0.0,0.0,1.0
bức tranh,0.3333,1.0,0.5,1.0
chữa bài,0.0,0.0,0.0,1.0
công nghiệp,0.0,0.0,0.0,1.0
công viên,0.5,1.0,0.6667,1.0
cần không?,0.0,0.0,0.0,1.0
héc-tô-mét vuông (hm2),0.0,0.0,0.0,1.0
không cho,0.0,0.0,0.0,1.0
không dám,0.3333,1.0,0.5,1.0
không hiểu,0.0,0.0,0.0,1.0
không muốn,0.0,0.0,0.0,1.0
không nghe lời,0.0,0.0,0.0,1.0
không nên,1.0,1.0,1.0,1.0
không quen,0.0,0.0,0.0,1.0
không đẹp,0.0,0.0,0.0,1.0
muốn không?,0.0,0.0,0.0,1.0
môn kĩ thuật,0.5,1.0,0.6667,1.0
ngày của mẹ,0.0,0.0,0.0,1.0
nên không?,0.5,1.0,0.6667,1.0
phương tiện giao thông,0.0,0.0,0.0,1.0
phải không?,0.0,0.0,0.0,1.0
thành lập,0.0,0.0,0.0,1.0
thông minh,0.0,0.0,0.0,1.0
thông tin,0.0,0.0,0.0,1.0
thương yêu,0.0,0.0,0.0,1.0
thường xuyên,0.0,0.0,0.0,1.0
thủ công,1.0,1.0,1.0,1.0
trông chờ,0.0,0.0,0.0,1.0
trông nom,0.0,0.0,0.0,1.0
tưởng tượng,0.2,1.0,0.3333,1.0
áo phông,0.0,0.0,0.0,1.0
ông bà,0.25,1.0,0.4,1.0
ông ngoại,0.0,0.0,0.0,1.0
ông nội,0.0,0.0,0.0,1.0
đèn báo giao thông,0.0,0.0,0.0,1.0
đúng không?,0.0,0.0,0.0,1.0
đặc biệt,0.0,0.0,0.0,1.0
đẹp không?,0.0,0.0,0.0,1.0
đẹp không? (người),0.5,1.0,0.6667,1.0
accuracy,0.22,,,
macro avg,0.1057,0.22,0.1337,50.0
weighted avg,0.1057,0.22,0.1337,50.0
